# t[s]	cA_low	cB_low	cC_low	cA_high	cB_high	cC_high	cA_extr	cB_extr	cC_extr	Err_low	Err_high
0	1	0	0	1	0	0	1	0	0	0	0
0.05	0.952381	0.031746	0.015873	0.951814	0.034646	0.0135396	0.951248	0.0375461	0.0112061	0.00753023	0.00376511
0.1	0.907029	0.0513983	0.0415722	0.905951	0.0551501	0.0388993	0.904872	0.0589018	0.0362264	0.0094623	0.00473115
0.15	0.863838	0.0630601	0.0731023	0.862297	0.0666837	0.0710195	0.860756	0.0703072	0.0689367	0.00890878	0.00445439
0.2	0.822702	0.0694635	0.107834	0.820747	0.0725527	0.106701	0.818791	0.0756419	0.105567	0.00765587	0.00382793
0.25	0.783526	0.0724265	0.144047	0.781198	0.0748694	0.143932	0.778871	0.0773122	0.143817	0.0067525	0.00337625
0.3	0.746215	0.0731582	0.180626	0.743556	0.0749818	0.181462	0.740896	0.0768054	0.182298	0.00666252	0.00333126
0.35	0.710681	0.0724615	0.216857	0.707727	0.0737496	0.218523	0.704773	0.0750378	0.220189	0.00725583	0.00362792
0.4	0.676839	0.070869	0.252292	0.673625	0.0717197	0.254655	0.670411	0.0725704	0.257019	0.00815926	0.00407963
0.45	0.644609	0.068733	0.286658	0.641166	0.0692391	0.289595	0.637723	0.0697452	0.292532	0.00910733	0.00455366
0.5	0.613913	0.0662857	0.319801	0.610271	0.0665269	0.323202	0.606629	0.066768	0.326603	0.00997852	0.00498926
0.55	0.584679	0.0636798	0.351641	0.580865	0.0637207	0.355415	0.57705	0.0637615	0.359188	0.0107321	0.00536603
0.6	0.556837	0.0610145	0.382148	0.552875	0.0609059	0.386219	0.548913	0.0607973	0.390289	0.0113631	0.00568153
0.65	0.530321	0.0583537	0.411325	0.526235	0.0581347	0.415631	0.522148	0.0579157	0.419936	0.0118805	0.00594026
0.7	0.505068	0.0557381	0.439194	0.500878	0.0554382	0.443684	0.496688	0.0551383	0.448174	0.0122976	0.00614882
0.75	0.481017	0.0531926	0.46579	0.476743	0.0528339	0.470423	0.472468	0.0524751	0.475057	0.0126278	0.00631391
0.8	0.458112	0.0507321	0.491156	0.453771	0.0503309	0.495899	0.44943	0.0499297	0.500641	0.012883	0.00644152
0.85	0.436297	0.0483646	0.515339	0.431905	0.0479331	0.520162	0.427514	0.0475016	0.524984	0.0130736	0.00653681
0.9	0.415521	0.0460938	0.538386	0.411094	0.045641	0.543265	0.406667	0.0451883	0.548145	0.0132082	0.00660409
0.95	0.395734	0.0439203	0.560346	0.391285	0.043453	0.565262	0.386836	0.0429857	0.570178	0.013294	0.00664699
1	0.376889	0.0418432	0.581267	0.372431	0.0413664	0.586203	0.367972	0.0408896	0.591139	0.0133371	0.00666853
1.05	0.358942	0.0398602	0.601197	0.354485	0.0393778	0.606137	0.350027	0.0388953	0.611077	0.0133426	0.00667128
1.1	0.34185	0.0379685	0.620182	0.337404	0.0374833	0.625113	0.332958	0.036998	0.630044	0.0133148	0.00665742
1.15	0.325571	0.0361647	0.638264	0.321146	0.035679	0.643175	0.31672	0.0351933	0.648086	0.0132577	0.00662885
1.2	0.310068	0.0344454	0.655487	0.305671	0.033961	0.660368	0.301274	0.0334766	0.665249	0.0131745	0.00658724
