# t  cA_high  cB_high  cC_high  err_norm
0 1 0 0 0
0.05 0.951814 0.034646 0.0135396 0.00376511
0.1 0.905951 0.0551501 0.0388993 0.00473115
0.15 0.862297 0.0666837 0.0710195 0.00445439
0.2 0.820747 0.0725527 0.106701 0.00382793
0.25 0.781198 0.0748694 0.143932 0.00337625
0.3 0.743556 0.0749818 0.181462 0.00333126
0.35 0.707727 0.0737496 0.218523 0.00362792
0.4 0.673625 0.0717197 0.254655 0.00407963
0.45 0.641166 0.0692391 0.289595 0.00455366
0.5 0.610271 0.0665269 0.323202 0.00498926
0.55 0.580865 0.0637207 0.355415 0.00536603
0.6 0.552875 0.0609059 0.386219 0.00568153
0.65 0.526235 0.0581347 0.415631 0.00594026
0.7 0.500878 0.0554382 0.443684 0.00614882
0.75 0.476743 0.0528339 0.470423 0.00631391
0.8 0.453771 0.0503309 0.495899 0.00644152
0.85 0.431905 0.0479331 0.520162 0.00653681
0.9 0.411094 0.045641 0.543265 0.00660409
0.95 0.391285 0.043453 0.565262 0.00664699
1 0.372431 0.0413664 0.586203 0.00666853
1.05 0.354485 0.0393778 0.606137 0.00667128
1.1 0.337404 0.0374833 0.625113 0.00665742
1.15 0.321146 0.035679 0.643175 0.00662885
1.2 0.305671 0.033961 0.660368 0.00658724
1.25 0.290942 0.0323253 0.676732 0.00653406
1.3 0.276923 0.0307682 0.692309 0.00647062
1.35 0.263579 0.0292859 0.707135 0.0063981
1.4 0.250879 0.027875 0.721246 0.00631756
1.45 0.23879 0.0265319 0.734678 0.00622998
1.5 0.227284 0.0252536 0.747463 0.00613624
1.55 0.216332 0.0240368 0.759631 0.00603715
1.6 0.205908 0.0228786 0.771214 0.00593345
1.65 0.195986 0.0217762 0.782238 0.00582582
1.7 0.186542 0.0207269 0.792731 0.00571487
1.75 0.177554 0.0197282 0.802718 0.00560117
1.8 0.168998 0.0187775 0.812224 0.00548525
1.85 0.160855 0.0178727 0.821272 0.00536758
1.9 0.153104 0.0170115 0.829885 0.00524859
1.95 0.145726 0.0161918 0.838082 0.00512869
2 0.138705 0.0154116 0.845884 0.00500822
2.05 0.132021 0.014669 0.85331 0.00488753
2.1 0.125659 0.0139622 0.860378 0.00476691
2.15 0.119605 0.0132894 0.867106 0.00464664
2.2 0.113841 0.012649 0.87351 0.00452694
2.25 0.108356 0.0120395 0.879605 0.00440805
2.3 0.103135 0.0114594 0.885406 0.00429017
2.35 0.098165 0.0109072 0.890928 0.00417346
2.4 0.0934349 0.0103817 0.896183 0.00405809
2.45 0.0889326 0.0098814 0.901186 0.0039442
2.5 0.0846474 0.00940526 0.905947 0.00383191
2.55 0.0805686 0.00895206 0.910479 0.00372132
2.6 0.0766863 0.0085207 0.914793 0.00361254
2.65 0.0729912 0.00811013 0.918899 0.00350564
2.7 0.069474 0.00771934 0.922807 0.00340069
2.75 0.0661264 0.00734738 0.926526 0.00329776
2.8 0.06294 0.00699334 0.930067 0.00319688
2.85 0.0599072 0.00665636 0.933436 0.0030981
2.9 0.0570206 0.00633562 0.936644 0.00300144
2.95 0.054273 0.00603033 0.939697 0.00290694
3 0.0516578 0.00573976 0.942602 0.00281461
3.05 0.0491687 0.00546319 0.945368 0.00272445
3.1 0.0467994 0.00519994 0.948001 0.00263647
3.15 0.0445444 0.00494938 0.950506 0.00255067
3.2 0.042398 0.00471089 0.952891 0.00246704
3.25 0.040355 0.00448389 0.955161 0.00238557
3.3 0.0384105 0.00426783 0.957322 0.00230624
3.35 0.0365597 0.00406218 0.959378 0.00222904
3.4 0.034798 0.00386644 0.961336 0.00215394
3.45 0.0331212 0.00368014 0.963199 0.00208093
3.5 0.0315253 0.00350281 0.964972 0.00200996
3.55 0.0300062 0.00333402 0.96666 0.00194102
3.6 0.0285603 0.00317337 0.968266 0.00187408
3.65 0.0271841 0.00302046 0.969795 0.00180909
3.7 0.0258743 0.00287492 0.971251 0.00174603
3.75 0.0246275 0.00273639 0.972636 0.00168486
3.8 0.0234408 0.00260453 0.973955 0.00162554
3.85 0.0223113 0.00247903 0.97521 0.00156804
