# t	Nm	Np	Vr	Vdot
0.000000	0.000000	0.000000	10.000000	1.000000
0.100000	0.796000	0.004000	10.004967	1.000000
0.200000	1.584080	0.015920	10.018930	1.000000
0.300000	2.364319	0.035681	10.041010	1.000000
0.400000	3.136795	0.063205	10.070413	1.000000
0.500000	3.901584	0.098416	10.106417	1.000000
0.600000	4.658764	0.141236	10.148372	1.000000
0.700000	5.408411	0.191589	10.195690	1.000000
0.800000	6.150598	0.249402	10.247836	1.000000
0.900000	6.885400	0.314600	10.304328	1.000000
1.000000	7.612892	0.387108	10.364731	1.000000
1.100000	8.333145	0.466855	10.428649	1.000000
1.200000	9.046231	0.553769	10.495726	1.000000
1.300000	9.752222	0.647778	10.565638	1.000000
1.400000	10.451189	0.748811	10.638094	1.000000
1.500000	11.143201	0.856799	10.712828	1.000000
1.600000	11.828328	0.971672	10.789604	1.000000
1.700000	12.506638	1.093362	10.868203	1.000000
1.800000	13.178198	1.221802	10.948432	1.000000
1.900000	13.843077	1.356923	11.030113	1.000000
2.000000	14.501340	1.498660	11.113088	1.000000
2.100000	15.153053	1.646947	11.197211	1.000000
2.200000	15.798282	1.801718	11.282353	1.000000
2.300000	16.437091	1.962909	11.368396	1.000000
2.400000	17.069544	2.130456	11.455234	1.000000
2.500000	17.695705	2.304295	11.542770	1.000000
2.600000	18.315634	2.484366	11.630918	1.000000
2.700000	18.929396	2.670604	11.719600	1.000000
2.800000	19.537051	2.862949	11.808745	1.000000
2.900000	20.138659	3.061341	11.898289	1.000000
3.000000	20.734282	3.265718	11.988175	1.000000
3.100000	21.323978	3.476022	12.078351	1.000000
3.200000	21.907807	3.692193	12.168770	1.000000
3.300000	22.485827	3.914173	12.259391	1.000000
3.400000	23.058095	4.141905	12.350174	1.000000
3.500000	23.624670	4.375330	12.441087	1.000000
3.600000	24.185607	4.614393	12.532099	1.000000
3.700000	24.740963	4.859037	12.623181	1.000000
3.800000	25.290793	5.109207	12.714310	1.000000
3.900000	25.835152	5.364848	12.805462	1.000000
4.000000	26.374095	5.625905	12.896619	1.000000
4.100000	26.907676	5.892324	12.987762	1.000000
4.200000	27.435947	6.164053	13.078875	1.000000
4.300000	27.958963	6.441037	13.169943	1.000000
4.400000	28.476774	6.723226	13.260955	1.000000
4.500000	28.989433	7.010567	13.351898	1.000000
4.600000	29.496991	7.303009	13.442763	1.000000
4.700000	29.999499	7.600501	13.533541	1.000000
4.800000	30.497007	7.902993	13.624223	1.000000
4.900000	30.989565	8.210435	13.714802	1.000000
5.000000	31.477222	8.522778	13.805273	1.000000
5.100000	31.960027	8.839973	13.895629	1.000000
5.200000	32.438027	9.161973	13.985866	1.000000
5.300000	32.911272	9.488728	14.075981	1.000000
5.400000	33.379808	9.820192	14.165968	1.000000
5.500000	33.843682	10.156318	14.255825	1.000000
5.600000	34.302941	10.497059	14.345549	1.000000
5.700000	34.757630	10.842370	14.435139	1.000000
5.800000	35.207795	11.192205	14.524592	1.000000
5.900000	35.653481	11.546519	14.613906	1.000000
6.000000	36.094732	11.905268	14.703080	1.000000
6.100000	36.531593	12.268407	14.792114	1.000000
6.200000	36.964107	12.635893	14.881006	1.000000
6.300000	37.392317	13.007683	14.969756	1.000000
6.400000	37.816267	13.383733	15.058363	1.000000
6.500000	38.235999	13.764001	15.146828	1.000000
6.600000	38.651554	14.148446	15.235149	1.000000
6.700000	39.062975	14.537025	15.323329	1.000000
6.800000	39.470301	14.929699	15.411366	1.000000
6.900000	39.873575	15.326425	15.499260	1.000000
7.000000	40.272837	15.727163	15.587014	1.000000
7.100000	40.668126	16.131874	15.674626	1.000000
7.200000	41.059481	16.540519	15.762097	1.000000
7.300000	41.446943	16.953057	15.849429	1.000000
7.400000	41.830550	17.369450	15.936621	1.000000
7.500000	42.210339	17.789661	16.023675	1.000000
7.600000	42.586350	18.213650	16.110592	1.000000
7.700000	42.958619	18.641381	16.197372	1.000000
7.800000	43.327185	19.072815	16.284017	1.000000
7.900000	43.692083	19.507917	16.370526	1.000000
8.000000	44.053350	19.946650	16.456902	1.000000
8.100000	44.411023	20.388977	16.543145	1.000000
8.200000	44.765137	20.834863	16.629257	1.000000
8.300000	45.115727	21.284273	16.715238	1.000000
8.400000	45.462830	21.737170	16.801089	1.000000
8.500000	45.806478	22.193522	16.886812	1.000000
8.600000	46.146707	22.653293	16.972407	1.000000
8.700000	46.483551	23.116449	17.057876	1.000000
8.800000	46.817044	23.582956	17.143219	1.000000
8.900000	47.147218	24.052782	17.228439	1.000000
9.000000	47.474107	24.525893	17.313535	1.000000
9.100000	47.797743	25.002257	17.398510	1.000000
9.200000	48.118159	25.481841	17.483363	1.000000
9.300000	48.435387	25.964613	17.568097	1.000000
9.400000	48.749459	26.450541	17.652713	1.000000
9.500000	49.060405	26.939595	17.737210	1.000000
9.600000	49.368258	27.431742	17.821592	1.000000
9.700000	49.673047	27.926953	17.905857	1.000000
9.800000	49.974804	28.425196	17.990009	1.000000
9.900000	50.273559	28.926441	18.074048	1.000000
10.000000	50.569340	29.430660	18.157974	1.000000
10.100000	50.862179	29.937821	18.241789	1.000000
10.200000	51.152104	30.447896	18.325495	1.000000
10.300000	51.439144	30.960856	18.409091	1.000000
10.400000	51.723329	31.476671	18.492580	1.000000
10.500000	52.004685	31.995315	18.575962	1.000000
10.600000	52.283242	32.516758	18.659238	1.000000
10.700000	52.559028	33.040972	18.742409	1.000000
10.800000	52.832069	33.567931	18.825477	1.000000
10.900000	53.102394	34.097606	18.908442	1.000000
11.000000	53.370028	34.629972	18.991305	1.000000
11.100000	53.635000	35.165000	19.074068	1.000000
11.200000	53.897336	35.702664	19.156730	1.000000
11.300000	54.157061	36.242939	19.239294	1.000000
11.400000	54.414202	36.785798	19.321761	1.000000
11.500000	54.668784	37.331216	19.404130	1.000000
11.600000	54.920833	37.879167	19.486404	1.000000
11.700000	55.170375	38.429625	19.568583	1.000000
11.800000	55.417433	38.982567	19.650667	1.000000
11.900000	55.662033	39.537967	19.732659	1.000000
12.000000	55.904200	40.095800	19.814559	1.000000
12.100000	56.143957	40.656043	19.896367	1.000000
12.200000	56.381328	41.218672	19.978085	1.000000
12.226836	56.444627	41.370061	20.000000	1.000000
12.300000	55.929618	42.078198	20.000000	0.190669
12.400000	55.527107	42.631650	20.000000	0.189297
12.500000	55.127494	43.181119	20.000000	0.187935
12.600000	54.730756	43.726634	20.000000	0.186582
12.700000	54.336873	44.268223	20.000000	0.185239
12.800000	53.945825	44.805914	20.000000	0.183906
12.900000	53.557591	45.339735	20.000000	0.182583
13.000000	53.172151	45.869715	20.000000	0.181269
13.100000	52.789485	46.395881	20.000000	0.179964
13.200000	52.409573	46.918260	20.000000	0.178669
13.300000	52.032395	47.436879	20.000000	0.177383
13.400000	51.657932	47.951767	20.000000	0.176107
13.500000	51.286163	48.462948	20.000000	0.174839
13.600000	50.917070	48.970451	20.000000	0.173581
13.700000	50.550634	49.474302	20.000000	0.172332
13.800000	50.186834	49.974527	20.000000	0.171091
13.900000	49.825652	50.471151	20.000000	0.169860
14.000000	49.467070	50.964202	20.000000	0.168638
14.100000	49.111069	51.453704	20.000000	0.167424
14.200000	48.757629	51.939683	20.000000	0.166219
14.300000	48.406733	52.422165	20.000000	0.165023
14.400000	48.058363	52.901175	20.000000	0.163835
14.500000	47.712499	53.376737	20.000000	0.162656
14.600000	47.369125	53.848877	20.000000	0.161486
14.700000	47.028221	54.317619	20.000000	0.160323
14.800000	46.689771	54.782988	20.000000	0.159170
14.900000	46.353757	55.245007	20.000000	0.158024
15.000000	46.020161	55.703702	20.000000	0.156887
15.100000	45.688966	56.159095	20.000000	0.155758
15.200000	45.360154	56.611211	20.000000	0.154637
15.300000	45.033709	57.060073	20.000000	0.153524
15.400000	44.709613	57.505705	20.000000	0.152419
15.500000	44.387849	57.948130	20.000000	0.151322
15.600000	44.068401	58.387371	20.000000	0.150233
15.700000	43.751252	58.823451	20.000000	0.149152
15.800000	43.436386	59.256392	20.000000	0.148079
15.900000	43.123785	59.686218	20.000000	0.147013
16.000000	42.813435	60.112951	20.000000	0.145955
16.100000	42.505317	60.536612	20.000000	0.144904
16.200000	42.199417	60.957224	20.000000	0.143862
16.300000	41.895719	61.374810	20.000000	0.142826
16.400000	41.594206	61.789390	20.000000	0.141798
16.500000	41.294863	62.200986	20.000000	0.140778
16.600000	40.997675	62.609621	20.000000	0.139765
16.700000	40.702625	63.015314	20.000000	0.138759
16.800000	40.409698	63.418088	20.000000	0.137760
16.900000	40.118880	63.817963	20.000000	0.136769
17.000000	39.830154	64.214961	20.000000	0.135785
17.100000	39.543507	64.609101	20.000000	0.134807
17.200000	39.258922	65.000405	20.000000	0.133837
17.300000	38.976386	65.388893	20.000000	0.132874
17.400000	38.695883	65.774585	20.000000	0.131918
17.500000	38.417398	66.157501	20.000000	0.130968
17.600000	38.140918	66.537661	20.000000	0.130026
17.700000	37.866427	66.915086	20.000000	0.129090
17.800000	37.593912	67.289794	20.000000	0.128161
17.900000	37.323358	67.661806	20.000000	0.127239
18.000000	37.054751	68.031140	20.000000	0.126323
18.100000	36.788077	68.397817	20.000000	0.125414
18.200000	36.523323	68.761854	20.000000	0.124511
18.300000	36.260473	69.123272	20.000000	0.123615
18.400000	35.999516	69.482089	20.000000	0.122726
18.500000	35.740436	69.838323	20.000000	0.121842
18.600000	35.483221	70.191994	20.000000	0.120966
18.700000	35.227857	70.543119	20.000000	0.120095
18.800000	34.974331	70.891718	20.000000	0.119231
18.900000	34.722630	71.237807	20.000000	0.118373
19.000000	34.472739	71.581406	20.000000	0.117521
19.100000	34.224648	71.922533	20.000000	0.116675
19.200000	33.978341	72.261204	20.000000	0.115835
19.300000	33.733808	72.597438	20.000000	0.115002
19.400000	33.491034	72.931252	20.000000	0.114174
19.500000	33.250007	73.262663	20.000000	0.113352
19.600000	33.010715	73.591690	20.000000	0.112537
19.700000	32.773145	73.918349	20.000000	0.111727
19.800000	32.537285	74.242657	20.000000	0.110923
19.900000	32.303122	74.564631	20.000000	0.110124
20.000000	32.070644	74.884287	20.000000	0.109332
